SubId,discoSide
tag001,Right
tag002,Right
tag003,Left
tag004,Right
tag005,Right
tag006,Left
tag007,Left
tag008,Left
tag009,Left
tag010,Right
tag011,Right
tag012,Left
tag013,Right
tag014,Right
tag015,Right
tag016,Right
tag017,Left
tag018,Right
tag019,Right
tag020,Right
tag021,Left
tag022,Right
tag023,Right
tag024,Left
tag025,Left
tag026,Right
tag027,Right
tag028,Left
tag029,Right
tag030,Right
tag031,Left
tag032,Right
tag033,Right
tag034,Right
tag035,Right
tag036,Right
tag037,Right
tag038,Right
tag039,Left
tag040,Right
tag041,Right
tag042,Right
tag043,Left
tag044,Right
tag045,Right
tag046,Right
tag047,Right
tag048,Right
tag049,Right
tag050,Right
tag051,Right
tag052,Right
tag053,Right
tag054,Right
tag055,Right
tag056,Right
tag057,Right
tag058,Right
tag059,Right
tag060,Right
tag061,Left
tag062,Right
tag063,Left
tag064,Right
tag065,Right
tag066,Right
tag067,Right
tag068,Right
tag069,Right
tag070,Right
tag071,Right
tag072,Left
tag073,Left
tag074,Left
tag075,Right
tag076,Right
tag077,Left
tag078,Right
tag079,Left
tag080,Left
tag081,Left
tag082,Left
tag083,Left
tag084,Right
tag085,Right
tag086,Right
tag087,Left
tag088,Right
tag089,Right
tag090,Right
tag091,Left
tag092,Left
tag093,Left
tag094,Right
tag095,Left
tag096,Left
tag097,Left
tag098,Left
tag099,Right
tag100,Right
tag101,Left
tag102,Right
tag103,Left
tag104,Right
tag105,Right
tag106,Left
tag107,Left
tag108,Left
tag109,Right
tag110,Left
tag111,Right
tag112,Left
tag113,Left
tag114,Right
tag115,Left
tag116,Left
tag117,Left
tag118,Left
tag119,Right
tag120,Left
tag121,Left
tag122,Left
tag123,Left
tag124,Left
tag125,Left
tag126,Left
tag127,Left
tag128,Left
tag129,Left
tag130,Right
tag131,Left
tag132,Left
tag133,Left
tag134,Left
tag135,Left
tag136,Left
tag137,Right
tag138,Right
tag139,Left
tag140,Right
tag141,Right
tag142,Left
tag143,Right
tag144,Right
tag145,Left
tag146,Left
tag147,Left
tag148,Left
tag149,Right
tag150,Left
tag151,Left
tag152,Left
tag153,Left
tag154,Left
tag155,Left
tag156,Left
tag157,Left
tag158,Left
tag159,Right
tag160,Right
tag161,Left
tag162,Left
tag163,Left
tag164,Right
tag165,Left
tag166,Left
tag167,Right
tag168,Left
tag169,Right
tag170,Left
tag171,Left
tag172,Left
tag173,Left
tag174,Right
tag175,Left
tag176,Left
tag177,Left
tag178,Left
tag179,Right
tag180,Right
tag181,Right
tag182,Right
tag183,Left
tag184,Right
tag185,Right
tag186,Left
tag187,Left
tag188,Left
tag189,Left
tag190,Left
tag191,Right
tag192,Left
tag193,Left
tag194,Left
tag195,Right
tag196,Right
tag197,Right
tag198,Left
tag199,Left
tag200,Right
tag201,Left
tag202,Left
tag203,Left
tag204,Right
tag205,Left
tag206,Left
tag207,Left
tag208,Left
tag209,Left
tag210,Right
tag211,Left
tag212,Right
tag213,Right
tag214,Right
tag215,Right
tag216,Right
tag217,Right
tag218,Left
tag219,Left
tag220,Right
tag221,Right
tag222,Left
tag223,Left
tag224,Right
tag225,Right
tag226,Right
tag227,Right
tag228,Right
tag229,Left
tag230,Right
tag231,Left
tag232,Right
tag233,Left
tag234,Right
tag235,Left
tag236,Right
tag237,Right
tag238,Right
tag239,Right
tag240,Right
tag241,Right
tag242,Left
tag243,Right
tag244,Right
tag245,Right
tag246,Right
tag247,Left
tag248,Left
tag249,Left
tag250,Left
tag251,Left
tag252,Right
tag253,Right
tag254,Right
tag255,Left
tag256,Left
tag257,Left
tag258,Left
tag259,Right
tag260,Right
tag261,Right
tag262,Right
tag263,Left
tag264,Right
tag265,Left
tag266,Left
tag267,Left
tag268,Left
tag269,Right
tag270,Right
tag271,Left
tag272,Left
tag273,Right
tag274,Right
tag275,Left
tag276,Right
tag277,Right
tag278,Right
tag279,Left
tag280,Right
tag281,Left
tag282,Left
tag283,Right
tag284,Right
tag285,Left
tag286,Left
tag287,Left
tag288,Right
tag289,Left
tag290,Right
tag291,Right
tag292,Left
tag293,Right
tag294,Right
tag295,Right
tag296,Left
tag297,Right
tag298,Right
tag299,Left
tag999,Right
tag998,Left
tag300,Right
tag301,Left
tag2246,Right
